user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5
1,2,0,1,0.15,0.0,0.296,0.023,0.279,0.053
2,0,0,2,0.529,0.069,0.0,0.057,0.031,0.114
3,2,0,1,0.051,0.069,0.581,0.0,0.079,0.02
4,2,0,2,0.084,0.134,0.359,0.136,0.0,0.087
5,2,0,1,0.043,0.13,0.539,0.043,0.046,0.0
1,2,1,1,0.273,0.0,0.407,0.034,0.174,0.111
2,0,1,2,0.653,0.1,0.0,0.063,0.043,0.141
3,2,1,1,0.067,0.083,0.757,0.0,0.079,0.014
4,2,1,2,0.147,0.086,0.561,0.13,0.0,0.076
5,2,1,1,0.076,0.126,0.721,0.029,0.049,0.0
1,2,2,1,0.213,0.0,0.363,0.029,0.32,0.076
2,0,2,2,0.657,0.087,0.0,0.07,0.043,0.143
3,2,2,1,0.041,0.1,0.73,0.0,0.106,0.023
4,2,2,2,0.13,0.116,0.514,0.144,0.0,0.096
5,2,2,1,0.076,0.129,0.674,0.067,0.054,0.0
1,2,3,1,0.287,0.0,0.383,0.049,0.166,0.116
2,0,3,2,0.5529999999999999,0.091,0.0,0.051,0.177,0.127
3,2,3,1,0.051,0.1,0.706,0.0,0.114,0.029
4,2,3,2,0.149,0.141,0.43,0.174,0.0,0.106
5,1,3,1,0.133,0.373,0.35,0.064,0.08,0.0
1,2,4,1,0.334,0.0,0.44,0.034,0.067,0.124
2,0,4,2,0.657,0.086,0.0,0.071,0.043,0.143
3,2,4,1,0.063,0.097,0.7,0.0,0.111,0.029
4,2,4,2,0.197,0.131,0.406,0.17,0.0,0.096
5,2,4,1,0.113,0.386,0.399,0.031,0.071,0.0
1,2,5,1,0.283,0.0,0.489,0.029,0.071,0.129
2,0,5,2,0.657,0.1,0.0,0.071,0.043,0.129
3,2,5,1,0.056,0.1,0.701,0.0,0.114,0.029
4,2,5,2,0.104,0.1689999999999999,0.446,0.171,0.0,0.11
5,1,5,1,0.084,0.429,0.386,0.03,0.071,0.0
1,2,6,1,0.289,0.0,0.469,0.029,0.077,0.1369999999999999
2,0,6,2,0.507,0.096,0.0,0.063,0.213,0.121
3,2,6,1,0.036,0.077,0.79,0.0,0.079,0.019
4,2,6,2,0.071,0.113,0.617,0.123,0.0,0.076
5,2,6,1,0.074,0.231,0.617,0.026,0.051,0.0
1,0,7,1,0.387,0.0,0.387,0.029,0.071,0.126
2,0,7,2,0.631,0.086,0.0,0.066,0.081,0.136
3,2,7,1,0.063,0.014,0.906,0.0,0.011,0.006
4,2,7,2,0.101,0.023,0.8140000000000001,0.043,0.0,0.019
5,2,7,1,0.111,0.036,0.816,0.01,0.027,0.0
1,0,8,1,0.399,0.0,0.379,0.029,0.071,0.123
2,0,8,2,0.657,0.086,0.0,0.071,0.043,0.143
3,2,8,1,0.086,0.023,0.866,0.0,0.023,0.003
4,0,8,2,0.406,0.036,0.404,0.113,0.0,0.041
5,2,8,1,0.22,0.091,0.63,0.016,0.043,0.0
1,2,9,1,0.201,0.0,0.547,0.036,0.124,0.091
2,0,9,2,0.657,0.094,0.0,0.071,0.043,0.134
3,2,9,1,0.041,0.01,0.949,0.0,0.0,0.0
4,2,9,2,0.101,0.006,0.8340000000000001,0.05,0.0,0.009
5,2,9,1,0.07,0.027,0.871,0.01,0.021,0.0
1,2,10,1,0.196,0.0,0.451,0.039,0.047,0.267
2,0,10,2,0.657,0.087,0.0,0.071,0.043,0.141
3,2,10,1,0.06,0.039,0.863,0.0,0.034,0.004
4,2,10,2,0.19,0.11,0.504,0.13,0.0,0.066
5,2,10,1,0.107,0.069,0.769,0.024,0.031,0.0
1,5,11,1,0.034,0.0,0.301,0.043,0.029,0.593
2,0,11,2,0.639,0.087,0.0,0.07,0.066,0.139
3,2,11,1,0.084,0.053,0.799,0.0,0.059,0.006
4,2,11,2,0.096,0.134,0.474,0.186,0.0,0.11
5,2,11,1,0.051,0.103,0.759,0.039,0.049,0.0
1,5,12,1,0.036,0.0,0.266,0.049,0.043,0.607
2,0,12,2,0.657,0.1,0.0,0.064,0.043,0.136
3,2,12,1,0.159,0.064,0.6559999999999999,0.0,0.106,0.016
4,2,12,2,0.113,0.126,0.454,0.183,0.0,0.124
