user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8
1,0,0,1,0.537,0.0,0.034,0.0,0.023,0.026,0.101,0.066,0.013
2,6,0,1,0.004,0.089,0.0,0.0,0.06,0.021,0.509,0.042,0.074
3,0,0,2,0.309,0.071,0.016,0.0,0.063,0.033,0.161,0.098,0.05
4,1,0,2,0.014,0.29,0.15,0.1639999999999999,0.0,0.071,0.038,0.049,0.023
5,4,0,1,0.0,0.033,0.021,0.133,0.223,0.0,0.095,0.171,0.124
6,8,0,2,0.0,0.08,0.023,0.029,0.046,0.04,0.0,0.046,0.537
7,1,0,1,0.1689999999999999,0.347,0.063,0.084,0.004,0.053,0.019,0.0,0.061
8,1,0,1,0.043,0.469,0.051,0.07,0.033,0.026,0.09,0.019,0.0
1,0,1,1,0.66,0.0,0.04,0.003,0.031,0.03,0.139,0.084,0.013
2,6,1,1,0.004,0.104,0.0,0.006,0.087,0.026,0.609,0.071,0.093
3,0,1,2,0.439,0.089,0.02,0.0,0.069,0.03,0.176,0.111,0.067
4,1,1,2,0.017,0.56,0.131,0.047,0.0,0.097,0.057,0.072,0.019
5,4,1,1,0.001,0.044,0.033,0.156,0.299,0.0,0.111,0.219,0.1369999999999999
6,8,1,2,0.0,0.094,0.029,0.04,0.057,0.051,0.0,0.057,0.6709999999999999
7,0,1,1,0.403,0.233,0.054,0.11,0.02,0.056,0.039,0.0,0.086
8,1,1,1,0.056,0.586,0.061,0.087,0.041,0.034,0.11,0.024,0.0
1,0,2,1,0.6829999999999999,0.0,0.037,0.027,0.039,0.029,0.103,0.083,0.0
2,7,2,1,0.029,0.111,0.0,0.057,0.047,0.07,0.1639999999999999,0.3229999999999999,0.199
3,8,2,2,0.179,0.07,0.036,0.0,0.06,0.02,0.108,0.057,0.47
4,1,2,2,0.023,0.614,0.129,0.029,0.0,0.086,0.048,0.058,0.014
5,4,2,1,0.011,0.044,0.05,0.166,0.314,0.0,0.103,0.215,0.096
6,8,2,2,0.0,0.086,0.029,0.04,0.059,0.057,0.0,0.059,0.6709999999999999
7,0,2,1,0.324,0.311,0.06,0.109,0.01,0.056,0.04,0.0,0.09
8,1,2,1,0.05,0.5539999999999999,0.079,0.114,0.04,0.036,0.103,0.024,0.0
1,0,3,1,0.684,0.0,0.041,0.027,0.039,0.03,0.094,0.081,0.004
2,7,3,1,0.046,0.127,0.0,0.063,0.081,0.097,0.165,0.258,0.163
3,8,3,2,0.031,0.133,0.119,0.0,0.116,0.039,0.189,0.126,0.247
4,1,3,2,0.029,0.614,0.129,0.029,0.0,0.086,0.05,0.05,0.014
5,2,3,1,0.006,0.047,0.269,0.123,0.24,0.0,0.084,0.103,0.129
6,8,3,2,0.003,0.076,0.027,0.037,0.069,0.057,0.0,0.057,0.674
7,0,3,1,0.531,0.161,0.049,0.093,0.0069999999999999,0.047,0.036,0.0,0.076
8,1,3,1,0.057,0.586,0.051,0.094,0.033,0.043,0.099,0.037,0.0
