user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7
1,0,0,1,0.3,0.0,0.126,0.081,0.044,0.106,0.016,0.127
2,1,0,1,0.0,0.353,0.0,0.1369999999999999,0.04,0.18,0.059,0.031
3,7,0,2,0.011,0.094,0.046,0.0,0.209,0.011,0.179,0.25
4,3,0,1,0.023,0.0819999999999999,0.039,0.581,0.0,0.048,0.016,0.011
5,1,0,2,0.091,0.42,0.077,0.119,0.004,0.0,0.05,0.039
6,5,0,2,0.023,0.069,0.034,0.124,0.021,0.471,0.0,0.057
7,2,0,1,0.011,0.12,0.296,0.1369999999999999,0.177,0.056,0.003,0.0
1,2,1,1,0.11,0.0,0.557,0.102,0.071,0.095,0.02,0.044
2,5,1,1,0.0,0.125,0.0,0.092,0.0069999999999999,0.682,0.081,0.013
3,7,1,2,0.024,0.114,0.087,0.0,0.096,0.261,0.091,0.326
4,3,1,1,0.029,0.075,0.044,0.6859999999999999,0.0,0.126,0.026,0.014
5,1,1,2,0.056,0.66,0.03,0.228,0.0,0.0,0.006,0.02
6,5,1,2,0.02,0.074,0.036,0.14,0.027,0.652,0.0,0.051
7,3,1,1,0.017,0.1689999999999999,0.107,0.556,0.06,0.058,0.033,0.0
1,2,2,1,0.031,0.0,0.594,0.085,0.054,0.178,0.019,0.039
2,5,2,1,0.0,0.12,0.0,0.079,0.0069999999999999,0.7140000000000001,0.066,0.014
3,2,2,2,0.039,0.07,0.4270000000000001,0.0,0.03,0.237,0.044,0.153
4,3,2,1,0.029,0.067,0.043,0.693,0.0,0.138,0.016,0.014
5,1,2,2,0.039,0.629,0.016,0.303,0.0,0.0,0.0,0.014
6,5,2,2,0.011,0.059,0.287,0.123,0.026,0.421,0.0,0.073
7,5,2,1,0.033,0.193,0.039,0.28,0.041,0.383,0.031,0.0
1,2,3,1,0.031,0.0,0.626,0.068,0.051,0.1689999999999999,0.019,0.036
2,5,3,1,0.0,0.103,0.0,0.078,0.0069999999999999,0.732,0.066,0.014
3,2,3,2,0.044,0.05,0.619,0.0,0.019,0.207,0.033,0.029
4,3,3,1,0.027,0.0819999999999999,0.05,0.672,0.0,0.128,0.027,0.014
5,1,3,2,0.236,0.435,0.057,0.198,0.0,0.0,0.029,0.046
6,2,3,2,0.001,0.033,0.5429999999999999,0.112,0.029,0.204,0.0,0.079
7,5,3,1,0.021,0.128,0.06,0.114,0.033,0.628,0.016,0.0
1,5,4,1,0.01,0.0,0.249,0.071,0.036,0.619,0.0,0.016
2,5,4,1,0.0,0.128,0.0,0.083,0.02,0.6809999999999999,0.073,0.016
3,2,4,2,0.043,0.041,0.6940000000000001,0.0,0.02,0.159,0.027,0.016
4,3,4,1,0.029,0.069,0.177,0.603,0.0,0.098,0.014,0.01
5,2,4,2,0.057,0.092,0.5589999999999999,0.179,0.02,0.0,0.03,0.063
6,2,4,2,0.004,0.046,0.416,0.111,0.01,0.344,0.0,0.069
7,2,4,1,0.016,0.043,0.7709999999999999,0.066,0.02,0.083,0.001,0.0
1,5,5,1,0.023,0.0,0.336,0.102,0.043,0.461,0.011,0.024
2,6,5,1,0.0,0.091,0.0,0.054,0.017,0.305,0.519,0.014
3,2,5,2,0.044,0.053,0.696,0.0,0.034,0.066,0.044,0.063
4,3,5,1,0.027,0.077,0.233,0.5660000000000001,0.0,0.069,0.024,0.004
5,2,5,2,0.026,0.023,0.804,0.103,0.026,0.0,0.009,0.01
6,2,5,2,0.01,0.034,0.647,0.071,0.014,0.197,0.0,0.027
7,2,5,1,0.006,0.037,0.919,0.012,0.006,0.021,0.0,0.0
1,2,6,1,0.014,0.0,0.504,0.063,0.016,0.383,0.001,0.019
2,6,6,1,0.0,0.089,0.0,0.061,0.019,0.074,0.743,0.014
3,2,6,2,0.004,0.006,0.956,0.0,0.0069999999999999,0.003,0.014,0.01
4,2,6,1,0.0,0.011,0.95,0.031,0.0,0.004,0.001,0.001
5,2,6,2,0.004,0.003,0.971,0.013,0.006,0.0,0.001,0.001
6,2,6,2,0.0,0.0,0.994,0.006,0.0,0.0,0.0,0.0
7,2,6,1,0.036,0.126,0.643,0.081,0.017,0.072,0.024,0.0
1,5,7,1,0.046,0.0,0.331,0.123,0.074,0.362,0.021,0.043
2,6,7,1,0.25,0.134,0.0,0.08,0.044,0.035,0.414,0.043
3,6,7,2,0.07,0.097,0.257,0.0,0.076,0.056,0.311,0.133
4,3,7,1,0.029,0.1689999999999999,0.18,0.5379999999999999,0.0,0.055,0.019,0.011
5,2,7,2,0.064,0.172,0.581,0.118,0.02,0.0,0.02,0.024
6,3,7,2,0.029,0.045,0.163,0.464,0.017,0.231,0.0,0.051
7,2,7,1,0.041,0.197,0.319,0.185,0.059,0.16,0.039,0.0
1,2,8,1,0.063,0.0,0.45,0.112,0.084,0.212,0.024,0.054
2,0,8,1,0.434,0.171,0.0,0.147,0.094,0.006,0.051,0.096
3,7,8,2,0.067,0.106,0.11,0.0,0.071,0.037,0.183,0.426
4,3,8,1,0.096,0.325,0.037,0.434,0.0,0.091,0.014,0.003
5,1,8,2,0.07,0.614,0.026,0.187,0.0,0.0,0.054,0.049
6,3,8,2,0.021,0.071,0.234,0.345,0.027,0.211,0.0,0.09
7,1,8,1,0.066,0.285,0.117,0.251,0.11,0.128,0.043,0.0
1,2,9,1,0.039,0.0,0.399,0.106,0.083,0.283,0.029,0.063
2,4,9,1,0.087,0.245,0.0,0.168,0.316,0.02,0.059,0.106
3,2,9,2,0.059,0.134,0.419,0.0,0.054,0.043,0.14,0.151
4,1,9,1,0.101,0.64,0.096,0.123,0.0,0.026,0.009,0.006
5,1,9,2,0.114,0.583,0.051,0.216,0.0,0.0,0.014,0.021
6,3,9,2,0.026,0.078,0.17,0.407,0.027,0.203,0.0,0.089
7,2,9,1,0.051,0.186,0.393,0.159,0.106,0.084,0.021,0.0
1,2,10,1,0.033,0.0,0.519,0.065,0.054,0.277,0.013,0.04
2,4,10,1,0.076,0.245,0.0,0.158,0.346,0.029,0.05,0.097
3,2,10,2,0.064,0.073,0.493,0.0,0.103,0.107,0.067,0.093
4,2,10,1,0.014,0.056,0.491,0.357,0.0,0.037,0.021,0.023
5,1,10,2,0.129,0.282,0.133,0.097,0.01,0.0,0.27,0.08
6,5,10,2,0.026,0.034,0.201,0.31,0.02,0.351,0.0,0.059
7,2,10,1,0.036,0.149,0.363,0.172,0.051,0.199,0.03,0.0
1,5,11,1,0.089,0.0,0.089,0.118,0.067,0.583,0.016,0.039
2,1,11,1,0.123,0.243,0.0,0.192,0.204,0.057,0.056,0.126
3,5,11,2,0.07,0.166,0.09,0.0,0.143,0.231,0.119,0.181
4,3,11,1,0.029,0.086,0.041,0.667,0.0,0.135,0.029,0.014
5,1,11,2,0.117,0.452,0.034,0.254,0.001,0.0,0.096,0.046
6,5,11,2,0.017,0.066,0.056,0.165,0.043,0.579,0.0,0.074
7,5,11,1,0.021,0.104,0.04,0.079,0.043,0.684,0.029,0.0
1,0,12,1,0.5770000000000001,0.0,0.086,0.086,0.026,0.139,0.014,0.071
2,1,12,1,0.127,0.242,0.0,0.198,0.211,0.036,0.056,0.129
3,6,12,2,0.031,0.07,0.064,0.0,0.207,0.149,0.261,0.217
4,3,12,1,0.029,0.098,0.043,0.684,0.0,0.104,0.029,0.014
5,1,12,2,0.119,0.624,0.046,0.121,0.001,0.0,0.054,0.036
6,5,12,2,0.026,0.073,0.044,0.1669999999999999,0.056,0.546,0.0,0.089
7,5,12,1,0.027,0.133,0.047,0.09,0.041,0.534,0.127,0.0
1,6,13,1,0.117,0.0,0.196,0.074,0.02,0.067,0.446,0.08
2,1,13,1,0.11,0.252,0.0,0.204,0.217,0.019,0.067,0.131
3,4,13,2,0.019,0.087,0.077,0.0,0.321,0.05,0.196,0.25
4,3,13,1,0.03,0.1,0.047,0.72,0.0,0.062,0.027,0.014
5,1,13,2,0.064,0.72,0.043,0.129,0.0,0.0,0.016,0.029
6,5,13,2,0.021,0.067,0.054,0.171,0.053,0.5429999999999999,0.0,0.09
7,6,13,1,0.016,0.098,0.02,0.09,0.019,0.074,0.6829999999999999,0.0
1,2,14,1,0.0069999999999999,0.0,0.419,0.063,0.009,0.08,0.356,0.067
2,1,14,1,0.113,0.275,0.0,0.206,0.153,0.042,0.069,0.143
3,4,14,2,0.024,0.076,0.081,0.0,0.257,0.144,0.179,0.239
4,3,14,1,0.03,0.107,0.039,0.708,0.0,0.073,0.029,0.014
5,1,14,2,0.096,0.688,0.047,0.122,0.0,0.0,0.017,0.03
6,5,14,2,0.027,0.077,0.064,0.156,0.064,0.509,0.0,0.103
7,5,14,1,0.026,0.1639999999999999,0.054,0.166,0.033,0.454,0.103,0.0
1,5,15,1,0.02,0.0,0.091,0.087,0.027,0.371,0.337,0.067
2,1,15,1,0.146,0.266,0.0,0.204,0.14,0.045,0.067,0.131
3,6,15,2,0.059,0.066,0.11,0.0,0.103,0.17,0.289,0.204
4,3,15,1,0.029,0.091,0.046,0.725,0.0,0.075,0.02,0.014
5,1,15,2,0.066,0.7509999999999999,0.043,0.099,0.0,0.0,0.014,0.027
6,5,15,2,0.024,0.08,0.056,0.1369999999999999,0.044,0.562,0.0,0.097
7,3,15,1,0.037,0.296,0.069,0.31,0.067,0.162,0.059,0.0
1,5,16,1,0.03,0.0,0.097,0.131,0.02,0.687,0.0,0.034
2,1,16,1,0.134,0.269,0.0,0.194,0.126,0.053,0.046,0.179
3,2,16,2,0.054,0.124,0.626,0.0,0.04,0.074,0.043,0.039
4,3,16,1,0.026,0.087,0.05,0.732,0.0,0.072,0.02,0.014
5,1,16,2,0.087,0.7390000000000001,0.046,0.083,0.0,0.0,0.017,0.029
6,5,16,2,0.02,0.059,0.047,0.2,0.084,0.494,0.0,0.096
7,1,16,1,0.039,0.327,0.084,0.321,0.101,0.104,0.023,0.0
1,3,17,1,0.024,0.0,0.11,0.6579999999999999,0.074,0.078,0.05,0.006
2,4,17,1,0.036,0.165,0.0,0.099,0.326,0.044,0.027,0.304
