user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6
1,0,0,2,0.5489999999999999,0.0,0.091,0.051,0.046,0.051,0.011
2,6,0,1,0.087,0.069,0.0,0.03,0.08,0.0,0.534
3,0,0,1,0.279,0.11,0.117,0.0,0.06,0.061,0.173
4,5,0,1,0.029,0.063,0.034,0.071,0.0,0.5429999999999999,0.06
5,6,0,2,0.197,0.091,0.019,0.194,0.08,0.0,0.219
6,1,0,1,0.1639999999999999,0.294,0.114,0.109,0.041,0.077,0.0
1,0,1,2,0.68,0.0,0.114,0.073,0.057,0.061,0.014
2,6,1,1,0.049,0.053,0.0,0.05,0.1,0.0,0.7490000000000001
3,0,1,1,0.319,0.144,0.194,0.0,0.08,0.08,0.183
4,5,1,1,0.043,0.071,0.043,0.086,0.0,0.6859999999999999,0.071
5,0,1,2,0.33,0.089,0.029,0.183,0.096,0.0,0.274
6,1,1,1,0.104,0.636,0.107,0.057,0.043,0.053,0.0
1,0,2,2,0.6759999999999999,0.0,0.114,0.07,0.057,0.069,0.014
2,6,2,1,0.081,0.056,0.0,0.139,0.116,0.006,0.603
3,2,2,1,0.139,0.104,0.563,0.0,0.069,0.034,0.091
4,5,2,1,0.043,0.071,0.043,0.086,0.0,0.677,0.08
5,6,2,2,0.226,0.02,0.03,0.18,0.073,0.0,0.471
6,1,2,1,0.113,0.59,0.117,0.074,0.044,0.061,0.0
1,0,3,2,0.6809999999999999,0.0,0.114,0.069,0.054,0.066,0.016
2,3,3,1,0.019,0.043,0.0,0.637,0.157,0.043,0.101
3,2,3,1,0.129,0.081,0.623,0.0,0.053,0.037,0.077
4,5,3,1,0.109,0.117,0.049,0.097,0.0,0.523,0.106
5,6,3,2,0.237,0.059,0.04,0.181,0.084,0.0,0.399
6,1,3,1,0.141,0.506,0.144,0.103,0.049,0.057,0.0
1,0,4,2,0.68,0.0,0.113,0.071,0.051,0.069,0.016
2,3,4,1,0.016,0.043,0.0,0.643,0.156,0.043,0.1
3,2,4,1,0.133,0.089,0.584,0.0,0.056,0.049,0.09
4,5,4,1,0.094,0.096,0.044,0.097,0.0,0.563,0.106
5,6,4,2,0.274,0.066,0.033,0.221,0.089,0.0,0.317
6,1,4,1,0.129,0.5710000000000001,0.117,0.079,0.046,0.059,0.0
1,0,5,2,0.434,0.0,0.146,0.069,0.043,0.254,0.054
2,3,5,1,0.026,0.043,0.0,0.639,0.156,0.037,0.1
3,2,5,1,0.131,0.09,0.62,0.0,0.051,0.03,0.077
4,5,5,1,0.143,0.139,0.056,0.109,0.0,0.431,0.123
5,0,5,2,0.486,0.106,0.043,0.129,0.077,0.0,0.16
6,1,5,1,0.194,0.396,0.14,0.119,0.054,0.097,0.0
1,0,6,2,0.606,0.0,0.121,0.071,0.056,0.121,0.024
2,3,6,1,0.016,0.043,0.0,0.643,0.157,0.041,0.1
3,2,6,1,0.129,0.08,0.643,0.0,0.047,0.029,0.073
4,5,6,1,0.06,0.081,0.044,0.087,0.0,0.643,0.084
5,6,6,2,0.239,0.041,0.031,0.171,0.07,0.0,0.447
6,1,6,1,0.106,0.601,0.129,0.057,0.049,0.059,0.0
1,0,7,2,0.66,0.0,0.106,0.08,0.057,0.08,0.017
2,3,7,1,0.027,0.044,0.0,0.643,0.157,0.029,0.1
3,2,7,1,0.141,0.1,0.557,0.0,0.066,0.04,0.096
4,5,7,1,0.043,0.071,0.043,0.086,0.0,0.677,0.08
5,6,7,2,0.126,0.024,0.029,0.171,0.089,0.0,0.561
6,1,7,1,0.103,0.63,0.099,0.056,0.043,0.07,0.0
1,0,8,2,0.44,0.0,0.129,0.061,0.057,0.259,0.054
2,3,8,1,0.256,0.114,0.0,0.337,0.12,0.02,0.153
3,2,8,1,0.173,0.099,0.523,0.0,0.057,0.047,0.101
4,5,8,1,0.063,0.079,0.041,0.087,0.0,0.647,0.083
5,6,8,2,0.166,0.029,0.027,0.1639999999999999,0.079,0.0,0.536
6,1,8,1,0.161,0.607,0.079,0.044,0.039,0.07,0.0
1,0,9,2,0.411,0.0,0.099,0.079,0.047,0.06,0.304
2,0,9,1,0.436,0.181,0.0,0.057,0.027,0.01,0.289
3,2,9,1,0.151,0.077,0.536,0.0,0.044,0.037,0.154
4,6,9,1,0.117,0.144,0.024,0.126,0.0,0.13,0.459
5,6,9,2,0.119,0.029,0.013,0.187,0.08,0.0,0.573
6,0,9,1,0.727,0.096,0.029,0.06,0.046,0.043,0.0
1,0,10,2,0.623,0.0,0.093,0.049,0.046,0.071,0.119
2,6,10,1,0.097,0.08,0.0,0.1639999999999999,0.073,0.001,0.584
3,6,10,1,0.277,0.107,0.141,0.0,0.063,0.076,0.336
4,6,10,1,0.037,0.097,0.033,0.031,0.0,0.056,0.746
5,6,10,2,0.184,0.039,0.014,0.177,0.08,0.0,0.506
6,0,10,1,0.58,0.247,0.033,0.053,0.046,0.041,0.0
1,0,11,2,0.6759999999999999,0.0,0.114,0.059,0.057,0.071,0.023
2,6,11,1,0.087,0.073,0.0,0.237,0.079,0.004,0.52
