user_id,item_id,timestamp,state_label,comma_separated_list_of_features
1,3,0,2,0
2,4,0,1,0
3,7,0,2,0
4,7,0,2,0
5,7,0,1,0
6,1,0,1,0
7,4,0,1,0
1,7,1,2,0
2,6,1,1,0
3,6,1,2,0
4,1,1,2,0
5,6,1,1,0
6,1,1,1,0
7,4,1,1,0
1,7,2,2,0
2,4,2,1,0
3,7,2,2,0
4,1,2,2,0
5,4,2,1,0
6,1,2,1,0
7,4,2,1,0
1,0,3,2,0
2,4,3,1,0
3,7,3,2,0
4,6,3,2,0
5,1,3,1,0
6,1,3,1,0
7,4,3,1,0
1,0,4,2,0
2,7,4,1,0
3,7,4,2,0
4,6,4,2,0
5,1,4,1,0
6,1,4,1,0
7,6,4,1,0
1,0,5,2,0
2,6,5,1,0
3,2,5,2,0
4,6,5,2,0
5,7,5,1,0
6,1,5,1,0
7,6,5,1,0
1,0,6,2,0
2,6,6,1,0
3,2,6,2,0
4,1,6,2,0
5,6,6,1,0
6,0,6,1,0
7,4,6,1,0
1,0,7,2,0
2,6,7,1,0
3,2,7,2,0
4,6,7,2,0
5,4,7,1,0
6,1,7,1,0
7,4,7,1,0
1,0,8,2,0
2,7,8,1,0
3,2,8,2,0
4,6,8,2,0
5,4,8,1,0
6,1,8,1,0
7,6,8,1,0
1,0,9,2,0
2,6,9,1,0
3,2,9,2,0
4,6,9,2,0
5,1,9,1,0
6,7,9,1,0
7,5,9,1,0
1,0,10,2,0
2,4,10,1,0
3,2,10,2,0
4,0,10,2,0
5,6,10,1,0
6,7,10,1,0
7,4,10,1,0
1,0,11,2,0
2,4,11,1,0
3,2,11,2,0
4,6,11,2,0
5,1,11,1,0
6,1,11,1,0
7,3,11,1,0
1,0,12,2,0
2,4,12,1,0
3,2,12,2,0
4,6,12,2,0
5,1,12,1,0
6,0,12,1,0
7,5,12,1,0
1,0,13,2,0
2,6,13,1,0
3,2,13,2,0
4,6,13,2,0
5,1,13,1,0
6,7,13,1,0
7,6,13,1,0
1,0,14,2,0
2,6,14,1,0
3,2,14,2,0
4,6,14,2,0
5,1,14,1,0
6,7,14,1,0
7,5,14,1,0
1,0,15,2,0
2,6,15,1,0
3,2,15,2,0
4,5,15,2,0
5,1,15,1,0
6,7,15,1,0
7,5,15,1,0
1,0,16,2,0
2,6,16,1,0
3,2,16,2,0
4,5,16,2,0
5,1,16,1,0
6,7,16,1,0
7,5,16,1,0
1,0,17,2,0
2,3,17,1,0
3,2,17,2,0
4,5,17,2,0
5,1,17,1,0
6,7,17,1,0
7,5,17,1,0
1,0,18,2,0
2,5,18,1,0
3,2,18,2,0
4,5,18,2,0
5,4,18,1,0
6,1,18,1,0
7,4,18,1,0
1,0,19,2,0
2,5,19,1,0
3,2,19,2,0
4,5,19,2,0
5,4,19,1,0
6,1,19,1,0
7,5,19,1,0
1,0,20,2,0
2,4,20,1,0
3,2,20,2,0
4,5,20,2,0
5,4,20,1,0
6,1,20,1,0
7,4,20,1,0
1,0,21,2,0
2,5,21,1,0
3,2,21,2,0
4,5,21,2,0
5,4,21,1,0
6,1,21,1,0
7,4,21,1,0
1,0,22,2,0
2,7,22,1,0
3,2,22,2,0
4,5,22,2,0
5,4,22,1,0
6,1,22,1,0
7,4,22,1,0
1,7,23,2,0
2,7,23,1,0
3,2,23,2,0
4,5,23,2,0
5,4,23,1,0
6,1,23,1,0
7,5,23,1,0
1,7,24,2,0
2,7,24,1,0
3,2,24,2,0
4,5,24,2,0
5,4,24,1,0
6,1,24,1,0
7,5,24,1,0
1,7,25,2,0
2,7,25,1,0
3,2,25,2,0
4,1,25,2,0
5,4,25,1,0
6,1,25,1,0
7,5,25,1,0
1,7,26,2,0
2,3,26,1,0
3,2,26,2,0
4,1,26,2,0
5,1,26,1,0
6,1,26,1,0
7,5,26,1,0
1,7,27,2,0
2,4,27,1,0
3,2,27,2,0
4,7,27,2,0
5,1,27,1,0
6,1,27,1,0
7,5,27,1,0
1,7,28,2,0
2,4,28,1,0
3,2,28,2,0
4,5,28,2,0
5,1,28,1,0
6,1,28,1,0
7,5,28,1,0
1,7,29,2,0
2,4,29,1,0
3,2,29,2,0
4,1,29,2,0
5,1,29,1,0
6,1,29,1,0
7,4,29,1,0
1,7,30,2,0
2,4,30,1,0
3,2,30,2,0
4,1,30,2,0
5,4,30,1,0
6,1,30,1,0
7,4,30,1,0
1,7,31,2,0
2,4,31,1,0
3,2,31,2,0
4,1,31,2,0
5,4,31,1,0
6,1,31,1,0
7,4,31,1,0
1,7,32,2,0
2,5,32,1,0
3,4,32,2,0
4,1,32,2,0
5,4,32,1,0
6,1,32,1,0
7,4,32,1,0
1,7,33,2,0
2,4,33,1,0
3,4,33,2,0
4,1,33,2,0
5,1,33,1,0
6,7,33,1,0
7,4,33,1,0
1,7,34,2,0
2,4,34,1,0
3,1,34,2,0
4,1,34,2,0
5,1,34,1,0
6,1,34,1,0
7,5,34,1,0
1,7,35,2,0
2,4,35,1,0
3,4,35,2,0
4,1,35,2,0
5,1,35,1,0
6,1,35,1,0
7,5,35,1,0
1,7,36,2,0
2,4,36,1,0
3,1,36,2,0
4,1,36,2,0
5,1,36,1,0
6,1,36,1,0
7,5,36,1,0
1,7,37,2,0
2,4,37,1,0
3,4,37,2,0
4,3,37,2,0
5,1,37,1,0
6,1,37,1,0
7,6,37,1,0
1,7,38,2,0
2,4,38,1,0
3,4,38,2,0
4,5,38,2,0
5,4,38,1,0
6,7,38,1,0
7,6,38,1,0
1,7,39,2,0
2,4,39,1,0
3,4,39,2,0
4,2,39,2,0
5,4,39,1,0
6,7,39,1,0
7,6,39,1,0
1,7,40,2,0
2,5,40,1,0
3,4,40,2,0
4,5,40,2,0
5,4,40,1,0
6,7,40,1,0
7,5,40,1,0
1,7,41,2,0
2,5,41,1,0
3,4,41,2,0
4,3,41,2,0
5,4,41,1,0
6,7,41,1,0
7,5,41,1,0
1,7,42,2,0
2,5,42,1,0
3,4,42,2,0
4,3,42,2,0
5,7,42,1,0
6,1,42,1,0
7,6,42,1,0
1,7,43,2,0
2,5,43,1,0
3,4,43,2,0
4,3,43,2,0
5,7,43,1,0
6,1,43,1,0
7,4,43,1,0
1,7,44,2,0
2,5,44,1,0
3,4,44,2,0
4,5,44,2,0
5,7,44,1,0
6,1,44,1,0
7,0,44,1,0
1,7,45,2,0
2,5,45,1,0
3,4,45,2,0
4,1,45,2,0
5,7,45,1,0
6,1,45,1,0
7,4,45,1,0
1,6,46,2,0
2,5,46,1,0
3,1,46,2,0
4,1,46,2,0
5,1,46,1,0
6,1,46,1,0
7,4,46,1,0
1,0,47,2,0
2,5,47,1,0
3,4,47,2,0
4,1,47,2,0
5,1,47,1,0
6,1,47,1,0
7,5,47,1,0
1,0,48,2,0
2,5,48,1,0
3,1,48,2,0
4,1,48,2,0
5,1,48,1,0
6,7,48,1,0
7,4,48,1,0
1,0,49,2,0
2,5,49,1,0
3,1,49,2,0
4,1,49,2,0
5,1,49,1,0
6,1,49,1,0
7,1,49,1,0
1,0,50,2,0
2,5,50,1,0
3,1,50,2,0
4,1,50,2,0
5,1,50,1,0
6,1,50,1,0
7,0,50,1,0
1,3,51,2,0
2,5,51,1,0
3,1,51,2,0
4,1,51,2,0
5,4,51,1,0
6,1,51,1,0
7,4,51,1,0
1,0,52,2,0
2,5,52,1,0
3,1,52,2,0
4,1,52,2,0
5,4,52,1,0
6,1,52,1,0
7,5,52,1,0
1,3,53,2,0
2,5,53,1,0
3,1,53,2,0
4,6,53,2,0
5,4,53,1,0
6,1,53,1,0
7,4,53,1,0
1,3,54,2,0
2,5,54,1,0
3,1,54,2,0
4,1,54,2,0
5,4,54,1,0
6,1,54,1,0
7,6,54,1,0
1,3,55,2,0
2,5,55,1,0
3,1,55,2,0
4,1,55,2,0
5,1,55,1,0
6,1,55,1,0
